root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,waist_yaw,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
0.991939,-1.83357,0.468257,0.044028,0.043794,-0.752972,0.655116,-0.334463,0.107176,0.328941,0.499425,-0.287226,0.0,-0.340441,-0.095782,-0.338464,0.461899,-0.313973,0.0,0.004176,0.025172,1.878441,0.269887,-0.416894,0.178948,-0.316585,-1.637156,-0.228891,-0.636121,0.322719
0.992112,-1.83309,0.468336,0.04466,0.044962,-0.753592,0.65428,-0.342035,0.110309,0.329868,0.509239,-0.293868,0.0,-0.347247,-0.095843,-0.336318,0.468405,-0.31857,0.0,0.004598,0.025239,1.881751,0.268117,-0.412592,0.178077,-0.317387,-1.634341,-0.231334,-0.634732,0.326943
0.992234,-1.832785,0.468506,0.045095,0.045879,-0.754006,0.653709,-0.345147,0.111724,0.330518,0.511233,-0.295771,0.0,-0.34929,-0.094669,-0.335221,0.467059,-0.318435,0.0,0.004582,0.022866,1.884135,0.268135,-0.411145,0.176653,-0.320291,-1.631711,-0.23237,-0.634199,0.328129
0.992304,-1.832515,0.468725,0.045481,0.046606,-0.754271,0.653325,-0.346052,0.112184,0.331076,0.509238,-0.295292,0.0,-0.349278,-0.093122,-0.334635,0.462406,-0.316271,0.0,0.004059,0.019761,1.885173,0.27013,-0.413045,0.175505,-0.32316,-1.629464,-0.234,-0.635902,0.327046
0.992328,-1.83227,0.468977,0.04578,0.047162,-0.754415,0.653099,-0.345692,0.112126,0.331469,0.505259,-0.293609,0.0,-0.348233,-0.091527,-0.334417,0.456602,-0.313372,0.0,0.003212,0.01603,1.885066,0.273069,-0.417088,0.17193,-0.325386,-1.626875,-0.235295,-0.638662,0.32702
0.992332,-1.832045,0.469217,0.046043,0.047553,-0.754496,0.652958,-0.344606,0.111683,0.331778,0.500328,-0.291362,0.0,-0.346748,-0.090106,-0.334385,0.450659,-0.310357,0.0,0.002213,0.013845,1.884723,0.276191,-0.421879,0.167009,-0.326624,-1.624691,-0.236956,-0.640743,0.32671
0.99233,-1.831867,0.469455,0.046318,0.047711,-0.754579,0.652831,-0.342945,0.1108,0.332184,0.494965,-0.288899,0.0,-0.345004,-0.089103,-0.334403,0.444918,-0.307452,0.0,0.001102,0.012868,1.883809,0.279201,-0.426346,0.162663,-0.328986,-1.622569,-0.238567,-0.641747,0.327295
0.992319,-1.831738,0.469736,0.046572,0.047684,-0.754617,0.652772,-0.340743,0.109571,0.332639,0.489179,-0.286275,0.0,-0.342866,-0.08848,-0.334577,0.439147,-0.304601,0.0,-0.000233,0.011835,1.882056,0.281999,-0.430493,0.158793,-0.33413,-1.619489,-0.239139,-0.64148,0.329633
0.992289,-1.831652,0.470086,0.046798,0.047584,-0.75459,0.652793,-0.337967,0.108092,0.33303,0.482626,-0.283357,0.0,-0.340203,-0.087845,-0.334994,0.432831,-0.301608,0.0,-0.001577,0.01001,1.879094,0.284532,-0.435053,0.154845,-0.338763,-1.616392,-0.238424,-0.639241,0.328834
0.992238,-1.831651,0.470475,0.046909,0.047268,-0.754422,0.653003,-0.334283,0.106183,0.333056,0.475353,-0.28016,0.0,-0.336487,-0.087146,-0.335603,0.42575,-0.298435,0.0,-0.003301,0.007559,1.875345,0.286974,-0.440123,0.149879,-0.344861,-1.613152,-0.236845,-0.636331,0.327719
0.992156,-1.831699,0.470844,0.046952,0.046708,-0.75409,0.653423,-0.329969,0.103846,0.332653,0.467797,-0.276826,0.0,-0.331979,-0.086694,-0.336298,0.418327,-0.295233,0.0,-0.005636,0.004895,1.871713,0.289515,-0.44573,0.141935,-0.350335,-1.610342,-0.23553,-0.634529,0.327011
0.992057,-1.831766,0.471094,0.047096,0.045905,-0.754128,0.653426,-0.32558,0.1014,0.333267,0.460877,-0.273737,0.0,-0.328616,-0.087001,-0.336565,0.413194,-0.292768,0.0,-0.006989,0.001548,1.86792,0.293094,-0.451904,0.132559,-0.354625,-1.608589,-0.235215,-0.633588,0.325049
0.991924,-1.831818,0.471202,0.047347,0.045083,-0.754243,0.653332,-0.321774,0.099066,0.334004,0.45512,-0.271167,0.0,-0.326984,-0.087845,-0.336434,0.411323,-0.291734,0.0,-0.007789,-0.001165,1.865076,0.298114,-0.459111,0.123511,-0.361178,-1.606884,-0.235796,-0.634018,0.324049
0.99174,-1.831888,0.471208,0.047675,0.04437,-0.754297,0.653296,-0.318828,0.09705,0.334463,0.450687,-0.269152,0.0,-0.326713,-0.089068,-0.336119,0.412041,-0.292174,0.0,-0.008453,-0.006805,1.862721,0.303975,-0.467039,0.113608,-0.364667,-1.606877,-0.236342,-0.632972,0.322702
0.991493,-1.832002,0.47114,0.047889,0.043642,-0.754216,0.653422,-0.316646,0.095569,0.334615,0.448132,-0.267814,0.0,-0.326968,-0.090493,-0.336043,0.414665,-0.293764,0.0,-0.009169,-0.014262,1.861088,0.309776,-0.474163,0.103506,-0.367415,-1.607573,-0.23639,-0.630191,0.321086
0.991193,-1.832217,0.470994,0.047805,0.042647,-0.754137,0.653585,-0.314527,0.094563,0.334801,0.447557,-0.267334,0.0,-0.326859,-0.092201,-0.336214,0.4187,-0.29626,0.0,-0.009921,-0.020781,1.860725,0.315139,-0.479611,0.095766,-0.371378,-1.609257,-0.236074,-0.626312,0.321275
0.990854,-1.832488,0.47088,0.047555,0.041494,-0.753501,0.65441,-0.312433,0.093427,0.333694,0.447834,-0.267344,0.0,-0.325521,-0.094012,-0.337275,0.422308,-0.299125,0.0,-0.012457,-0.023954,1.861899,0.318531,-0.482564,0.091487,-0.377567,-1.610623,-0.235302,-0.621944,0.320514
0.990451,-1.832807,0.470805,0.047156,0.04022,-0.752618,0.655534,-0.310121,0.092326,0.331923,0.448479,-0.267592,0.0,-0.323184,-0.095745,-0.339023,0.425382,-0.302054,0.0,-0.015728,-0.025584,1.863721,0.319893,-0.48366,0.090286,-0.384216,-1.611683,-0.233974,-0.617602,0.315822
0.989972,-1.833171,0.470702,0.046548,0.038922,-0.75184,0.656548,-0.30741,0.091648,0.33018,0.449351,-0.268074,0.0,-0.320342,-0.097048,-0.34075,0.428425,-0.305085,0.0,-0.018215,-0.026096,1.865977,0.319638,-0.483331,0.091228,-0.388897,-1.614233,-0.232453,-0.613659,0.309466
0.989414,-1.833591,0.470549,0.045765,0.037559,-0.75139,0.657197,-0.303916,0.091252,0.328782,0.450025,-0.26877,0.0,-0.317083,-0.097821,-0.341647,0.431487,-0.308271,0.0,-0.019491,-0.026099,1.868132,0.319082,-0.481858,0.093747,-0.392033,-1.618708,-0.231563,-0.610978,0.306092
0.98875,-1.834074,0.470351,0.044704,0.036185,-0.751094,0.657686,-0.29996,0.091465,0.32758,0.450898,-0.269681,0.0,-0.313405,-0.098024,-0.34216,0.43484,-0.311705,0.0,-0.020525,-0.030821,1.868688,0.319698,-0.481423,0.095209,-0.394073,-1.62328,-0.232751,-0.609794,0.301586
