root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,waist_yaw,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
0.915036,-1.834203,0.460112,0.046959,0.064485,-0.751885,0.65445,-0.591328,0.35521,0.271873,0.858254,-0.122808,0.0,-0.354785,0.065289,-0.351371,0.523191,-0.445198,0.0,-0.127733,0.30918,0.556017,-0.231341,-1.052417,-0.259015,0.110257,-0.323309,0.261247,-0.807128,0.38808
0.912529,-1.83324,0.458666,0.048626,0.065901,-0.752076,0.653968,-0.635678,0.377857,0.273399,0.914263,-0.081557,0.0,-0.364772,0.067705,-0.351161,0.531604,-0.449865,0.0,-0.127573,0.309319,0.584068,-0.264042,-1.101777,-0.281678,0.110791,-0.32797,0.30102,-0.798041,0.383799
0.909305,-1.832256,0.457172,0.049313,0.068686,-0.752169,0.653523,-0.688449,0.411261,0.286413,0.978026,-0.038025,0.0,-0.3739,0.074644,-0.352282,0.538728,-0.454964,0.0,-0.128251,0.325353,0.624544,-0.279531,-1.16184,-0.307243,0.109681,-0.328479,0.336895,-0.792462,0.377578
0.905722,-1.831527,0.455711,0.049532,0.072123,-0.751964,0.653372,-0.741816,0.453178,0.304615,1.041317,-0.002869,0.0,-0.381279,0.083653,-0.354214,0.542553,-0.459144,0.0,-0.127219,0.350623,0.667037,-0.275017,-1.233639,-0.342347,0.107438,-0.324968,0.359535,-0.787447,0.370707
0.902548,-1.83105,0.454456,0.050053,0.074839,-0.750969,0.654171,-0.786446,0.49303,0.332582,1.093169,0.004395,0.0,-0.387926,0.089638,-0.35816,0.545675,-0.46219,0.0,-0.128359,0.372265,0.695673,-0.2575,-1.288217,-0.355146,0.107071,-0.322032,0.367416,-0.788375,0.369219
0.90065,-1.830538,0.453353,0.051814,0.075546,-0.750457,0.65454,-0.822694,0.510464,0.349798,1.125844,-0.033689,0.0,-0.39525,0.089013,-0.35994,0.55077,-0.464387,0.0,-0.129683,0.378502,0.702644,-0.231009,-1.310577,-0.351563,0.108131,-0.32351,0.36024,-0.802648,0.371448
0.900515,-1.829868,0.452907,0.054001,0.074826,-0.751417,0.653343,-0.854244,0.49345,0.365956,1.143057,-0.095307,0.0,-0.400574,0.086,-0.356994,0.554256,-0.465298,0.0,-0.13164,0.380637,0.699311,-0.200606,-1.315241,-0.332905,0.109371,-0.325911,0.348082,-0.824148,0.377586
0.90141,-1.829495,0.45291,0.056305,0.073226,-0.753288,0.651172,-0.875361,0.454747,0.378332,1.135674,-0.143811,0.0,-0.402632,0.081721,-0.350828,0.553225,-0.46362,0.0,-0.135096,0.385333,0.697399,-0.174003,-1.312182,-0.309275,0.110964,-0.329319,0.33188,-0.849468,0.381787
0.902605,-1.829443,0.453422,0.057962,0.071506,-0.755013,0.649217,-0.880323,0.402966,0.390862,1.089139,-0.184463,0.0,-0.400641,0.077945,-0.34495,0.546544,-0.459022,0.0,-0.141662,0.40012,0.702783,-0.149996,-1.306379,-0.288708,0.110878,-0.328231,0.31334,-0.869802,0.377414
0.903627,-1.82992,0.454859,0.058132,0.069463,-0.756636,0.647532,-0.860855,0.341247,0.399497,0.995553,-0.20263,0.0,-0.390183,0.076868,-0.340904,0.529618,-0.450184,0.0,-0.151317,0.429396,0.715559,-0.129528,-1.294789,-0.266235,0.106643,-0.321864,0.30078,-0.880098,0.37093
0.905099,-1.830876,0.456377,0.058691,0.066011,-0.760037,0.64385,-0.818163,0.275346,0.399485,0.861986,-0.186238,0.0,-0.377908,0.072768,-0.333235,0.51192,-0.43979,0.0,-0.160006,0.460585,0.724121,-0.117351,-1.27351,-0.250846,0.098397,-0.317329,0.296794,-0.886719,0.368361
0.904317,-1.832408,0.459294,0.06042,0.059407,-0.763832,0.639829,-0.740562,0.237089,0.377058,0.714925,-0.129067,0.0,-0.360604,0.064586,-0.324627,0.487524,-0.426434,0.0,-0.173666,0.487871,0.720638,-0.112227,-1.240611,-0.228591,0.088057,-0.318996,0.300211,-0.893676,0.370767
