root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,waist_yaw,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
0.073329,-0.277262,0.479796,0.007418,0.025277,0.707737,0.705985,-0.227533,-0.049249,0.182357,0.205546,-0.141497,0.040862,-0.318229,-0.06719,-0.098089,0.268126,-0.102761,0.060062,-0.024018,-0.021546,0.13293,-0.565709,-0.519861,-0.175188,-0.028128,-0.130314,0.353319,-0.493503,-0.041574
0.073359,-0.276886,0.479729,0.0073,0.02541,0.707963,0.705755,-0.232758,-0.048811,0.180818,0.216217,-0.146637,0.041073,-0.321373,-0.067312,-0.095382,0.276577,-0.107316,0.057362,-0.024843,-0.020582,0.133728,-0.566398,-0.524056,-0.175544,-0.024169,-0.13099,0.354618,-0.502409,-0.046477
0.072948,-0.27692,0.479684,0.007377,0.025644,0.709097,0.704606,-0.235638,-0.04984,0.17968,0.219981,-0.14801,0.042566,-0.322634,-0.06977,-0.098175,0.280113,-0.109784,0.060296,-0.028674,-0.020012,0.135734,-0.574342,-0.525982,-0.179095,-0.023922,-0.132472,0.356326,-0.505894,-0.041051
0.073672,-0.27665,0.479776,0.007454,0.025535,0.708208,0.705502,-0.235517,-0.047684,0.17689,0.21866,-0.151313,0.043756,-0.322236,-0.067863,-0.100105,0.277283,-0.11101,0.055221,-0.026951,-0.018092,0.135726,-0.568072,-0.526526,-0.174694,-0.022724,-0.130274,0.358869,-0.508411,-0.044352
0.07365,-0.276207,0.479745,0.007672,0.02619,0.708894,0.704787,-0.235537,-0.049798,0.17625,0.219929,-0.151568,0.044599,-0.321619,-0.069207,-0.098023,0.277772,-0.10915,0.055819,-0.029353,-0.017672,0.134073,-0.569029,-0.52443,-0.171534,-0.023216,-0.128368,0.35661,-0.508498,-0.047242
0.0738,-0.275825,0.479758,0.007717,0.025909,0.708813,0.704878,-0.234105,-0.049416,0.178941,0.220978,-0.150623,0.042458,-0.321448,-0.069073,-0.095974,0.281241,-0.113594,0.056934,-0.029328,-0.015227,0.135213,-0.570067,-0.525437,-0.169917,-0.02191,-0.128184,0.357379,-0.51001,-0.045583
0.073956,-0.275988,0.479645,0.007625,0.026372,0.708897,0.704778,-0.236945,-0.049581,0.177165,0.223537,-0.151701,0.042736,-0.323048,-0.069423,-0.098097,0.280647,-0.11238,0.056355,-0.030532,-0.01484,0.133613,-0.570626,-0.521844,-0.170442,-0.022959,-0.126104,0.35607,-0.506559,-0.047073
0.074454,-0.275666,0.479758,0.007714,0.026594,0.709123,0.704541,-0.237665,-0.048531,0.175262,0.22264,-0.153704,0.046216,-0.322796,-0.069923,-0.100869,0.282502,-0.118296,0.05507,-0.032016,-0.014623,0.132946,-0.566291,-0.516526,-0.165293,-0.023279,-0.125909,0.35749,-0.504467,-0.048974
0.074638,-0.275157,0.479615,0.007464,0.027286,0.709735,0.703901,-0.237958,-0.049668,0.177945,0.224912,-0.152558,0.04341,-0.323947,-0.07032,-0.09795,0.284569,-0.116959,0.05757,-0.034696,-0.014388,0.132177,-0.565508,-0.514986,-0.166643,-0.025344,-0.12581,0.355848,-0.503001,-0.045763
0.074602,-0.274937,0.479802,0.007452,0.027091,0.710767,0.702866,-0.239778,-0.049764,0.168553,0.22502,-0.155424,0.048827,-0.32053,-0.070538,-0.103478,0.277835,-0.115887,0.054967,-0.036931,-0.013676,0.130851,-0.564947,-0.510658,-0.16153,-0.023531,-0.125173,0.351102,-0.501781,-0.05257
0.074963,-0.274355,0.479522,0.007384,0.026807,0.710696,0.70295,-0.238639,-0.048767,0.175066,0.2291,-0.153523,0.041463,-0.319005,-0.070452,-0.106415,0.279754,-0.117888,0.060343,-0.035108,-0.015905,0.123866,-0.565188,-0.499771,-0.158805,-0.025395,-0.123646,0.350808,-0.49855,-0.04779
0.075259,-0.274029,0.47969,0.007016,0.02691,0.710632,0.703014,-0.239768,-0.04757,0.171328,0.228427,-0.155583,0.04368,-0.319671,-0.068932,-0.106067,0.280088,-0.117759,0.058149,-0.035472,-0.012271,0.123904,-0.563834,-0.500828,-0.152506,-0.024365,-0.124299,0.352706,-0.499352,-0.048503
0.075571,-0.273489,0.479697,0.00722,0.026399,0.710663,0.703,-0.237448,-0.046609,0.174126,0.230294,-0.155176,0.042366,-0.318394,-0.067885,-0.102337,0.28346,-0.121023,0.057621,-0.03435,-0.011528,0.12279,-0.561408,-0.495591,-0.149343,-0.022868,-0.126234,0.356132,-0.499267,-0.050671
0.075828,-0.272951,0.479736,0.007026,0.026,0.711355,0.702317,-0.237478,-0.045732,0.169318,0.230275,-0.155338,0.042258,-0.317115,-0.06669,-0.104833,0.283744,-0.120608,0.056465,-0.034193,-0.012944,0.119203,-0.561507,-0.484435,-0.145606,-0.022667,-0.127027,0.355595,-0.4983,-0.051643
0.076581,-0.272293,0.479891,0.007565,0.025992,0.711061,0.702609,-0.235795,-0.044477,0.1698,0.231379,-0.158982,0.04565,-0.314665,-0.065836,-0.106125,0.283483,-0.120158,0.054818,-0.0344,-0.014309,0.1121,-0.559941,-0.466945,-0.14423,-0.022078,-0.129308,0.36221,-0.498928,-0.048501
0.077163,-0.271457,0.47991,0.00772,0.025164,0.710276,0.703431,-0.23222,-0.042051,0.173097,0.23189,-0.160279,0.043324,-0.313875,-0.063839,-0.106163,0.284045,-0.122489,0.052624,-0.031568,-0.014613,0.103956,-0.559421,-0.44648,-0.133481,-0.021043,-0.128035,0.375769,-0.495048,-0.050135
0.076579,-0.270365,0.479999,0.008492,0.024549,0.711639,0.702065,-0.227875,-0.044248,0.170048,0.230704,-0.160788,0.044238,-0.309297,-0.065511,-0.105718,0.286683,-0.127065,0.055834,-0.034561,-0.016991,0.089388,-0.571647,-0.414709,-0.118182,-0.020157,-0.126534,0.400634,-0.488,-0.059555
0.076578,-0.269091,0.480046,0.009149,0.02423,0.71204,0.701661,-0.223205,-0.044876,0.168603,0.229105,-0.16138,0.044756,-0.305855,-0.065885,-0.105485,0.287584,-0.128562,0.057103,-0.040205,-0.020762,0.074984,-0.601547,-0.370637,-0.105015,-0.022808,-0.124901,0.44918,-0.477467,-0.064471
0.076366,-0.27007,0.479808,0.008961,0.02486,0.710774,0.702924,-0.226875,-0.04514,0.17377,0.233839,-0.160801,0.043534,-0.316024,-0.066896,-0.10244,0.300129,-0.128584,0.057851,-0.047424,-0.029657,0.058518,-0.669763,-0.30711,-0.101914,-0.036369,-0.127983,0.54685,-0.45727,-0.058431
0.075708,-0.27009,0.479671,0.007017,0.026801,0.711875,0.70176,-0.240322,-0.044452,0.175198,0.248538,-0.166083,0.04409,-0.323163,-0.071296,-0.113494,0.306096,-0.134495,0.06245,-0.070624,-0.049423,0.045388,-0.752952,-0.224504,-0.128238,-0.071575,-0.126179,0.649705,-0.416583,-0.016034
0.074807,-0.274111,0.479571,0.00206,0.031127,0.715832,0.697575,-0.283931,-0.036697,0.18436,0.291933,-0.180065,0.049533,-0.346607,-0.077903,-0.129196,0.318685,-0.133424,0.055931,-0.098299,-0.108768,0.024768,-0.745528,-0.122245,-0.147282,-0.148371,-0.089212,0.666356,-0.327764,0.003338
0.073143,-0.280449,0.478764,-0.003177,0.036958,0.718121,0.694929,-0.343827,-0.015941,0.237867,0.374144,-0.227179,0.038116,-0.383739,-0.088478,-0.14643,0.336217,-0.12863,0.053273,-0.092123,-0.199934,0.017657,-0.678538,-0.067023,-0.155965,-0.236147,-0.029911,0.745843,-0.227392,0.070634
0.072208,-0.285953,0.476904,-0.004943,0.040745,0.722468,0.690185,-0.389854,0.021823,0.31207,0.462914,-0.259851,0.032382,-0.41455,-0.101912,-0.159362,0.372906,-0.142473,0.04482,-0.029576,-0.318855,-0.018379,-0.60176,-0.105089,-0.103169,-0.29173,0.049401,0.892007,-0.165488,0.100266
0.071847,-0.292595,0.476293,-0.009129,0.04684,0.728052,0.683859,-0.424131,0.069967,0.386908,0.510576,-0.27165,0.035888,-0.439643,-0.117478,-0.189132,0.376034,-0.141491,0.039039,0.046849,-0.43037,-0.05914,-0.556956,-0.284156,-0.038675,-0.332994,0.108109,1.054185,-0.215268,0.103839
0.072678,-0.295517,0.476707,-0.007039,0.044703,0.735107,0.676439,-0.430321,0.12637,0.419563,0.539374,-0.267601,0.033594,-0.434025,-0.122791,-0.206096,0.382355,-0.149288,0.029127,0.123089,-0.528475,-0.130868,-0.58058,-0.489338,0.009494,-0.374897,0.157642,1.21455,-0.325184,0.084417
0.0739,-0.297322,0.476189,-0.008052,0.038482,0.750143,0.660106,-0.441811,0.186482,0.409059,0.548048,-0.202165,0.029668,-0.418518,-0.124215,-0.248707,0.387599,-0.159926,0.018958,0.151501,-0.592595,-0.17453,-0.623809,-0.728739,0.175603,-0.435513,0.17453,1.346972,-0.511439,-0.034275
0.074927,-0.301418,0.475941,-0.016939,0.036124,0.764548,0.64333,-0.455549,0.247044,0.423755,0.513955,-0.113597,0.009101,-0.429837,-0.12189,-0.289394,0.394338,-0.167771,-0.009554,0.156204,-0.700198,-0.17453,-0.624698,-0.960832,0.475948,-0.584882,0.17453,1.417571,-0.722219,-0.238342
0.075385,-0.30286,0.475337,-0.016795,0.035065,0.781128,0.623159,-0.461817,0.288031,0.434376,0.487886,-0.060893,-0.008304,-0.427049,-0.138396,-0.328907,0.413157,-0.179696,-0.009766,0.158081,-0.782364,-0.17453,-0.626231,-1.16435,0.720088,-0.687701,0.17453,1.323219,-0.917063,-0.449376
0.07334,-0.306003,0.474039,-0.017939,0.038305,0.797004,0.602492,-0.471446,0.315135,0.475506,0.463379,0.010012,-0.013771,-0.437096,-0.166898,-0.357881,0.434083,-0.178447,-0.008178,0.164957,-0.895346,-0.17453,-0.621379,-1.327531,0.846857,-0.769786,0.17453,1.159785,-1.079304,-0.620858
0.072169,-0.304624,0.472181,-0.019504,0.040658,0.813221,0.580205,-0.475649,0.339903,0.50009,0.446373,0.087925,-0.024586,-0.441476,-0.190728,-0.391228,0.463606,-0.1862,-0.001127,0.179589,-0.974798,-0.17453,-0.621807,-1.468034,0.959907,-0.816269,0.17453,1.013333,-1.212594,-0.763608
0.070584,-0.30272,0.470485,-0.019527,0.043654,0.830497,0.554966,-0.479737,0.345013,0.508528,0.429155,0.155116,-0.028872,-0.444592,-0.222587,-0.419863,0.506477,-0.19465,0.004254,0.186541,-1.048415,-0.17453,-0.629729,-1.581374,1.038806,-0.839969,0.17453,0.8592,-1.334688,-0.953677
0.064634,-0.298156,0.469604,-0.014922,0.041592,0.843687,0.535013,-0.479442,0.324725,0.413712,0.410002,0.195663,-0.061895,-0.431222,-0.249795,-0.413512,0.549547,-0.203925,0.022017,0.194202,-1.096916,-0.17453,-0.634724,-1.665745,1.056832,-0.853386,0.17453,0.765854,-1.437154,-1.089403
0.05565,-0.290906,0.469288,-0.009992,0.041781,0.857066,0.513412,-0.480151,0.280053,0.277343,0.386415,0.188361,-0.09548,-0.420915,-0.271258,-0.349737,0.591003,-0.205842,0.049452,0.190321,-1.11608,-0.17453,-0.652665,-1.717432,1.022543,-0.836962,0.17453,0.705704,-1.510084,-1.179406
0.044451,-0.282576,0.467267,-0.002025,0.041657,0.875968,0.480563,-0.476955,0.230935,0.187606,0.382727,0.158288,-0.106809,-0.407879,-0.286266,-0.234975,0.63811,-0.222313,0.095742,0.155284,-1.129577,-0.17453,-0.670074,-1.717305,0.872433,-0.76337,0.17453,0.674486,-1.534824,-1.263661
0.032359,-0.276531,0.464079,0.012297,0.039671,0.891695,0.450726,-0.451,0.1858,0.162872,0.386634,0.102212,-0.098084,-0.394739,-0.295589,-0.08781,0.691145,-0.262562,0.151977,0.123562,-1.082856,-0.17453,-0.735148,-1.697936,0.562412,-0.650823,0.17453,0.645266,-1.493549,-1.190229
0.022532,-0.272234,0.461802,0.01936,0.04032,0.901779,0.429876,-0.440201,0.154087,0.134797,0.391308,0.037894,-0.075717,-0.374024,-0.29531,0.036896,0.681187,-0.291588,0.193963,0.108698,-0.986117,-0.163787,-0.821902,-1.703795,0.394509,-0.509009,0.155843,0.60761,-1.440432,-1.146175
0.014224,-0.268209,0.458734,0.016561,0.045657,0.909509,0.412837,-0.464748,0.127142,0.099654,0.424081,-0.030064,-0.057653,-0.359224,-0.283462,0.152179,0.655832,-0.312141,0.236227,0.06852,-0.795457,0.103307,-0.825772,-1.927878,0.248421,-0.28026,0.002479,0.608588,-1.560887,-1.185096
0.011542,-0.267001,0.45397,0.009294,0.051458,0.912281,0.406214,-0.51168,0.119625,0.095253,0.479318,-0.086663,-0.042578,-0.382283,-0.275685,0.210192,0.674542,-0.338019,0.264329,0.051232,-0.675806,0.252764,-0.810933,-1.9548,0.180506,-0.08724,-0.115514,0.618434,-1.665678,-1.214599
0.011216,-0.265892,0.449893,-0.000659,0.054091,0.91097,0.40891,-0.563149,0.133914,0.106845,0.548598,-0.117117,-0.044664,-0.420773,-0.27465,0.202294,0.709928,-0.372583,0.261936,0.044889,-0.554921,0.394055,-0.764181,-1.9548,0.102598,0.076638,-0.192228,0.583886,-1.744117,-1.238281
0.013084,-0.26529,0.446898,-0.011209,0.054768,0.904339,0.423138,-0.604909,0.162982,0.116713,0.605265,-0.135221,-0.051083,-0.470616,-0.27262,0.170954,0.743962,-0.405504,0.235152,0.055393,-0.441457,0.540298,-0.72748,-1.9548,-0.010817,0.189025,-0.278096,0.605841,-1.833451,-1.268371
0.014795,-0.265199,0.445879,-0.019863,0.051003,0.898549,0.435446,-0.626152,0.193876,0.124267,0.635032,-0.154718,-0.052493,-0.496762,-0.259439,0.150443,0.751476,-0.431315,0.199434,0.050276,-0.305075,0.691788,-0.652923,-1.9548,-0.043623,0.269562,-0.331291,0.573505,-1.907758,-1.301863
0.018958,-0.264792,0.444121,-0.023112,0.048362,0.893356,0.446142,-0.631276,0.224135,0.142909,0.650522,-0.168445,-0.055882,-0.521374,-0.233208,0.16463,0.762313,-0.444344,0.193107,0.041216,-0.226951,0.777955,-0.666184,-1.844663,-0.104574,0.302643,-0.348646,0.561694,-1.920119,-1.279184
0.022786,-0.26435,0.441836,-0.019814,0.048091,0.891162,0.450693,-0.627353,0.235274,0.154134,0.660857,-0.165855,-0.066573,-0.54404,-0.221485,0.179437,0.804384,-0.465824,0.189739,0.019508,-0.231761,0.771084,-0.772728,-1.562809,-0.236615,0.322563,-0.320115,0.54567,-1.859537,-1.264143
0.025009,-0.265327,0.441376,-0.015032,0.051319,0.891096,0.450653,-0.61645,0.226074,0.161176,0.647847,-0.154919,-0.069808,-0.553699,-0.22914,0.186362,0.824916,-0.477641,0.190893,-0.006785,-0.320152,0.665482,-0.955382,-1.157544,-0.395671,0.318679,-0.282589,0.533243,-1.75343,-1.292656
0.02778,-0.266586,0.440323,-0.016323,0.055348,0.891692,0.448949,-0.628265,0.223504,0.163821,0.647525,-0.154813,-0.061006,-0.576857,-0.230077,0.196317,0.848508,-0.487473,0.188635,-0.043014,-0.318695,0.615528,-0.951557,-0.99003,-0.393526,0.278299,-0.286723,0.570367,-1.73811,-1.226706
0.030884,-0.268254,0.439409,-0.019922,0.054988,0.889942,0.452309,-0.640231,0.234581,0.168026,0.652501,-0.150029,-0.062546,-0.595288,-0.216743,0.204876,0.851578,-0.481519,0.189376,-0.062951,-0.318373,0.596055,-0.932225,-0.9269,-0.38637,0.227688,-0.270451,0.61822,-1.755702,-1.173233
0.031922,-0.268965,0.439175,-0.019906,0.057496,0.886944,0.457852,-0.639619,0.239319,0.183133,0.65755,-0.153201,-0.059378,-0.609341,-0.211045,0.222563,0.857914,-0.477495,0.18859,-0.069842,-0.321899,0.593791,-0.968695,-0.860798,-0.375717,0.208898,-0.25605,0.649569,-1.767224,-1.146562
0.031725,-0.270429,0.439526,-0.01948,0.059788,0.884712,0.461877,-0.64275,0.238239,0.189635,0.665069,-0.159674,-0.046698,-0.617654,-0.211028,0.236626,0.858226,-0.476017,0.187188,-0.072215,-0.337917,0.576829,-0.996064,-0.766437,-0.38798,0.198699,-0.257204,0.675934,-1.77292,-1.115329
0.029031,-0.272269,0.438846,-0.017609,0.062143,0.88187,0.467049,-0.636296,0.233105,0.204925,0.672391,-0.162312,-0.050672,-0.624188,-0.216425,0.256823,0.863696,-0.479094,0.188178,-0.086973,-0.355703,0.565144,-1.096819,-0.652831,-0.406661,0.207199,-0.285299,0.703174,-1.791821,-1.116005
0.025547,-0.273323,0.438002,-0.013561,0.067528,0.881242,0.46762,-0.631152,0.213924,0.207416,0.673484,-0.167364,-0.050609,-0.631637,-0.235672,0.270202,0.884741,-0.495237,0.188587,-0.117538,-0.374795,0.538559,-1.268711,-0.520831,-0.384984,0.219553,-0.338138,0.719975,-1.817939,-1.125652
